Date,Open,High,Low,Close,Adj Close,Volume
2013-10-15,7339.540039,7351.100098,7282.160156,7289.839844,7289.839844,0
2013-10-16,7328.279785,7398.370117,7328.279785,7396.080078,7396.080078,0
2013-10-17,7368.330078,7441.520020,7364.149902,7441.109863,7441.109863,0
2013-10-18,7452.859863,7473.120117,7433.330078,7467.430176,7467.430176,0
2013-10-21,7469.859863,7477.029785,7448.229980,7461.950195,7461.950195,0
2013-10-22,7480.680176,7526.470215,7476.979980,7510.459961,7510.459961,0
2013-10-23,7488.169922,7489.919922,7455.379883,7475.029785,7475.029785,0
2013-10-24,7487.529785,7508.069824,7472.589844,7498.270020,7498.270020,0
2013-10-25,7503.770020,7515.799805,7485.620117,7515.649902,7515.649902,0
2013-10-28,7513.430176,7547.850098,7509.359863,7534.310059,7534.310059,0
2013-10-29,7550.410156,7586.009766,7549.279785,7585.229980,7585.229980,0
2013-10-30,7585.229980,7601.129883,7524.129883,7547.029785,7547.029785,0
2013-10-31,7541.830078,7565.100098,7508.939941,7508.939941,7508.939941,0
2013-11-01,7517.259766,7550.509766,7497.390137,7534.830078,7534.830078,0
2013-11-04,7555.450195,7563.140137,7531.870117,7557.750000,7557.750000,0
2013-11-05,7535.810059,7552.359863,7511.990234,7533.779785,7533.779785,0
2013-11-06,7554.279785,7585.080078,7554.279785,7582.879883,7582.879883,0
2013-11-07,7597.689941,7604.850098,7501.080078,7505.000000,7505.000000,0
2013-11-08,7497.669922,7603.390137,7497.459961,7602.100098,7602.100098,0
2013-11-11,7596.810059,7616.220215,7592.750000,7610.310059,7610.310059,0
2013-11-12,7598.350098,7613.069824,7567.990234,7588.379883,7588.379883,0
2013-11-13,7558.740234,7639.149902,7554.109863,7639.140137,7639.140137,0
2013-11-14,7640.069824,7681.540039,7636.339844,7677.930176,7677.930176,0
2013-11-15,7677.930176,7719.270020,7677.930176,7718.970215,7718.970215,0
2013-11-18,7727.419922,7742.959961,7694.589844,7711.640137,7711.640137,0
2013-11-19,7711.990234,7732.549805,7691.770020,7705.169922,7705.169922,0
2013-11-20,7711.410156,7730.930176,7653.720215,7672.410156,7672.410156,0
2013-11-21,7687.370117,7728.700195,7687.370117,7722.819824,7722.819824,0
2013-11-22,7723.740234,7758.450195,7713.120117,7756.819824,7756.819824,0
2013-11-25,7766.379883,7768.830078,7731.810059,7740.379883,7740.379883,0
2013-11-26,7741.720215,7754.770020,7727.169922,7727.169922,7727.169922,0
2013-11-27,7739.129883,7746.589844,7717.209961,7734.759766,7734.759766,0
2013-11-29,7741.779785,7762.529785,7710.859863,7718.799805,7718.799805,0
2013-12-02,7721.410156,7735.270020,7684.029785,7694.290039,7694.290039,0
2013-12-03,7694.290039,7694.290039,7627.649902,7659.939941,7659.939941,0
2013-12-04,7630.899902,7678.439941,7594.080078,7648.899902,7648.899902,0
2013-12-05,7627.390137,7642.169922,7597.020020,7602.779785,7602.779785,0
2013-12-06,7660.160156,7701.140137,7659.939941,7697.120117,7697.120117,0
2013-12-09,7706.479980,7719.620117,7697.890137,7706.979980,7706.979980,0
2013-12-10,7694.189941,7701.950195,7674.709961,7677.509766,7677.509766,0
2013-12-11,7681.430176,7683.779785,7594.990234,7604.640137,7604.640137,0
2013-12-12,7595.740234,7604.919922,7550.049805,7568.600098,7568.600098,0
2013-12-13,7574.529785,7590.520020,7551.120117,7572.509766,7572.509766,0
2013-12-16,7604.259766,7650.689941,7604.259766,7621.490234,7621.490234,0
2013-12-17,7627.910156,7627.910156,7576.100098,7589.459961,7589.459961,0
